Time (s),Frame,Event
7.17,423,Vehicle 729 Stopping
7.17,423,Vehicle 851 Stopping
7.17,423,Vehicle 884 Stopping
7.17,423,Person 895 Walking
7.17,423,Crowded Scene (17 people)
7.19,424,Vehicle 729 Stopping
7.19,424,Vehicle 851 Stopping
7.19,424,Vehicle 884 Stopping
7.19,424,Crowded Scene (17 people)
7.20,425,Vehicle 729 Stopping
7.20,425,Vehicle 851 Stopping
7.20,425,Vehicle 884 Stopping
7.20,425,Crowded Scene (16 people)
7.22,426,Vehicle 729 Stopping
7.22,426,Vehicle 851 Stopping
7.22,426,Person 877 Walking
7.22,426,Vehicle 884 Stopping
7.22,426,Crowded Scene (16 people)
7.24,427,Vehicle 729 Stopping
7.24,427,Vehicle 851 Stopping
7.24,427,Person 877 Walking
7.24,427,Vehicle 884 Stopping
7.24,427,Crowded Scene (16 people)
7.25,428,Vehicle 729 Stopping
7.25,428,Vehicle 851 Stopping
7.25,428,Vehicle 884 Stopping
7.25,428,Crowded Scene (16 people)
7.27,429,Vehicle 729 Stopping
7.27,429,Person 833 Walking
7.27,429,Vehicle 851 Stopping
7.27,429,Person 877 Walking
7.27,429,Vehicle 884 Stopping
7.27,429,Person 926 Walking
7.27,429,Crowded Scene (16 people)
7.29,430,Vehicle 729 Stopping
7.29,430,Person 833 Walking
7.29,430,Vehicle 851 Stopping
7.29,430,Person 877 Walking
7.29,430,Vehicle 884 Stopping
7.29,430,Person 688 Walking
7.29,430,Crowded Scene (16 people)
7.31,431,Vehicle 729 Stopping
7.31,431,Vehicle 851 Stopping
7.31,431,Vehicle 884 Stopping
7.31,431,Person 875 Walking
7.31,431,Crowded Scene (17 people)
7.32,432,Vehicle 729 Stopping
7.32,432,Vehicle 851 Stopping
7.32,432,Vehicle 884 Stopping
7.32,432,Crowded Scene (17 people)
7.34,433,Vehicle 851 Stopping
7.34,433,Vehicle 884 Stopping
7.34,433,Crowded Scene (16 people)
7.36,434,Vehicle 851 Stopping
7.36,434,Vehicle 884 Stopping
7.36,434,Crowded Scene (16 people)
7.37,435,Vehicle 851 Stopping
7.37,435,Person 877 Walking
7.37,435,Vehicle 884 Stopping
7.37,435,Person 875 Walking
7.37,435,Crowded Scene (16 people)
7.39,436,Person 645 Walking
7.39,436,Vehicle 851 Stopping
7.39,436,Vehicle 884 Stopping
7.39,436,Person 937 Walking
7.39,436,Crowded Scene (16 people)
7.41,437,Vehicle 851 Stopping
7.41,437,Vehicle 884 Stopping
7.41,437,Crowded Scene (16 people)
7.42,438,Vehicle 851 Stopping
7.42,438,Vehicle 884 Stopping
7.42,438,Person 937 Walking
7.42,438,Crowded Scene (16 people)
7.44,439,Vehicle 851 Stopping
7.44,439,Vehicle 884 Stopping
7.44,439,Crowded Scene (16 people)
7.46,440,Vehicle 851 Stopping
7.46,440,Vehicle 884 Stopping
7.46,440,Crowded Scene (15 people)
7.47,441,Person 792 Walking
7.47,441,Person 833 Walking
7.47,441,Vehicle 851 Stopping
7.47,441,Vehicle 884 Stopping
7.47,441,Crowded Scene (15 people)
7.49,442,Vehicle 851 Stopping
7.49,442,Vehicle 884 Stopping
7.49,442,Person 901 Walking
7.49,442,Crowded Scene (15 people)
7.51,443,Vehicle 851 Stopping
7.51,443,Vehicle 884 Stopping
7.51,443,Person 901 Walking
7.51,443,Person 875 Walking
7.51,443,Crowded Scene (14 people)
7.53,444,Person 645 Walking
7.53,444,Vehicle 851 Stopping
7.53,444,Vehicle 884 Stopping
7.53,444,Person 688 Walking
7.53,444,Crowded Scene (15 people)
7.54,445,Person 645 Walking
7.54,445,Person 792 Walking
7.54,445,Vehicle 851 Stopping
7.54,445,Vehicle 884 Stopping
7.54,445,Person 688 Walking
7.54,445,Crowded Scene (15 people)
7.56,446,Person 645 Walking
7.56,446,Vehicle 851 Stopping
7.56,446,Vehicle 884 Stopping
7.56,446,Person 901 Walking
7.56,446,Crowded Scene (15 people)
7.58,447,Person 645 Walking
7.58,447,Vehicle 851 Stopping
7.58,447,Vehicle 884 Stopping
7.58,447,Person 901 Walking
7.58,447,Crowded Scene (15 people)
7.59,448,Person 645 Walking
7.59,448,Person 833 Walking
7.59,448,Vehicle 851 Stopping
7.59,448,Vehicle 884 Stopping
7.59,448,Crowded Scene (14 people)
7.61,449,Person 645 Walking
7.61,449,Person 803 Walking
7.61,449,Vehicle 851 Stopping
7.61,449,Vehicle 884 Stopping
7.61,449,Crowded Scene (14 people)
7.63,450,Person 645 Walking
7.63,450,Person 803 Walking
7.63,450,Person 816 Walking
7.63,450,Person 833 Walking
7.63,450,Vehicle 851 Stopping
7.63,450,Vehicle 884 Stopping
7.63,450,Person 688 Walking
7.63,450,Crowded Scene (14 people)
7.64,451,Person 803 Walking
7.64,451,Person 816 Walking
7.64,451,Person 833 Walking
7.64,451,Vehicle 851 Stopping
7.64,451,Vehicle 884 Stopping
7.64,451,Crowded Scene (14 people)
7.66,452,Person 652 Walking
7.66,452,Person 803 Walking
7.66,452,Person 816 Walking
7.66,452,Person 833 Walking
7.66,452,Vehicle 851 Stopping
7.66,452,Vehicle 884 Stopping
7.66,452,Crowded Scene (14 people)
7.68,453,Person 652 Walking
7.68,453,Person 833 Walking
7.68,453,Vehicle 851 Stopping
7.68,453,Vehicle 884 Stopping
7.68,453,Crowded Scene (13 people)
7.69,454,Person 645 Walking
7.69,454,Person 652 Walking
7.69,454,Person 833 Walking
7.69,454,Vehicle 851 Stopping
7.69,454,Vehicle 884 Stopping
7.69,454,Crowded Scene (13 people)
7.71,455,Person 652 Walking
7.71,455,Vehicle 851 Stopping
7.71,455,Vehicle 884 Stopping
7.71,455,Crowded Scene (12 people)
7.73,456,Person 645 Walking
7.73,456,Person 652 Walking
7.73,456,Vehicle 851 Stopping
7.73,456,Vehicle 884 Stopping
7.73,456,Person 959 Walking
7.73,456,Crowded Scene (12 people)
7.75,457,Person 645 Walking
7.75,457,Person 652 Walking
7.75,457,Vehicle 851 Stopping
7.75,457,Vehicle 884 Stopping
7.75,457,Person 765 Walking
7.75,457,Crowded Scene (11 people)
7.76,458,Person 645 Walking
7.76,458,Person 652 Walking
7.76,458,Person 803 Walking
7.76,458,Vehicle 851 Stopping
7.76,458,Vehicle 884 Stopping
7.76,458,Person 765 Walking
7.76,458,Crowded Scene (12 people)
7.78,459,Person 645 Walking
7.78,459,Person 803 Walking
7.78,459,Vehicle 851 Stopping
7.78,459,Vehicle 884 Stopping
7.78,459,Person 765 Walking
7.78,459,Crowded Scene (11 people)
7.80,460,Person 645 Walking
7.80,460,Person 803 Walking
7.80,460,Vehicle 851 Stopping
7.80,460,Vehicle 884 Stopping
7.80,460,Crowded Scene (11 people)
7.81,461,Person 645 Walking
7.81,461,Person 803 Walking
7.81,461,Vehicle 851 Stopping
7.81,461,Vehicle 884 Stopping
7.81,461,Crowded Scene (10 people)
7.83,462,Person 645 Walking
7.83,462,Person 803 Walking
7.83,462,Vehicle 851 Stopping
7.83,462,Vehicle 884 Stopping
7.83,462,Crowded Scene (11 people)
7.85,463,Person 645 Walking
7.85,463,Person 716 Walking
7.85,463,Vehicle 851 Stopping
7.85,463,Vehicle 884 Stopping
7.85,463,Person 937 Walking
7.85,463,Crowded Scene (11 people)
7.86,464,Person 645 Walking
7.86,464,Person 716 Walking
7.86,464,Vehicle 851 Stopping
7.86,464,Vehicle 884 Stopping
7.86,464,Person 719 Walking
7.86,464,Person 875 Walking
7.86,464,Person 937 Walking
7.86,464,Person 652 Walking
7.86,464,Crowded Scene (12 people)
7.88,465,Vehicle 851 Stopping
7.88,465,Vehicle 884 Stopping
7.88,465,Person 719 Walking
7.88,465,Person 875 Walking
7.88,465,Person 937 Walking
7.88,465,Person 652 Walking
7.88,465,Crowded Scene (11 people)
7.90,466,Vehicle 851 Stopping
7.90,466,Vehicle 884 Stopping
7.90,466,Person 719 Walking
7.90,466,Person 937 Walking
7.90,466,Person 652 Walking
7.90,466,Crowded Scene (10 people)
7.92,467,Vehicle 851 Stopping
7.92,467,Vehicle 884 Stopping
7.92,467,Person 719 Walking
7.92,467,Person 937 Walking
7.92,467,Person 652 Walking
7.92,467,Crowded Scene (10 people)
7.93,468,Vehicle 851 Stopping
7.93,468,Vehicle 884 Stopping
7.93,468,Person 719 Walking
7.93,468,Person 937 Walking
7.93,468,Person 765 Walking
7.93,468,Person 652 Walking
7.93,468,Crowded Scene (10 people)
7.95,469,Vehicle 884 Stopping
7.95,469,Person 719 Walking
7.95,469,Person 652 Walking
7.95,469,Crowded Scene (10 people)
7.97,470,Vehicle 884 Stopping
7.97,470,Person 652 Walking
7.97,470,Crowded Scene (10 people)
7.98,471,Vehicle 884 Stopping
7.98,471,Crowded Scene (10 people)
8.00,472,Vehicle 884 Stopping
8.00,472,Person 937 Walking
8.00,472,Crowded Scene (10 people)
8.02,473,Vehicle 884 Stopping
8.02,473,Person 937 Walking
8.02,473,Vehicle 729 Stopping
8.02,473,Person 875 Walking
8.02,473,Crowded Scene (12 people)
8.03,474,Vehicle 884 Stopping
8.03,474,Person 719 Walking
8.03,474,Person 937 Walking
8.03,474,Vehicle 729 Stopping
8.03,474,Person 875 Walking
8.03,474,Person 876 Walking
8.03,474,Crowded Scene (13 people)
8.05,475,Vehicle 884 Stopping
8.05,475,Person 937 Walking
8.05,475,Vehicle 729 Stopping
8.05,475,Person 875 Walking
8.05,475,Crowded Scene (13 people)
8.07,476,Vehicle 884 Stopping
8.07,476,Person 719 Walking
8.07,476,Person 937 Walking
8.07,476,Vehicle 729 Stopping
8.07,476,Person 875 Walking
8.07,476,Crowded Scene (13 people)
8.08,477,Vehicle 884 Stopping
8.08,477,Person 719 Walking
8.08,477,Person 937 Walking
8.08,477,Vehicle 729 Stopping
8.08,477,Person 983 Walking
8.08,477,Person 875 Walking
8.08,477,Crowded Scene (13 people)
8.10,478,Vehicle 884 Stopping
8.10,478,Person 719 Walking
8.10,478,Person 937 Walking
8.10,478,Vehicle 729 Stopping
8.10,478,Person 983 Walking
8.10,478,Person 875 Walking
8.10,478,Person 959 Walking
8.10,478,Crowded Scene (14 people)
8.12,479,Person 645 Walking
8.12,479,Person 719 Walking
8.12,479,Person 937 Walking
8.12,479,Vehicle 729 Stopping
8.12,479,Person 875 Walking
8.12,479,Crowded Scene (15 people)
8.14,480,Person 645 Walking
8.14,480,Person 719 Walking
8.14,480,Vehicle 729 Stopping
8.14,480,Person 875 Walking
8.14,480,Person 876 Walking
8.14,480,Person 1010 Walking
8.14,480,Person 959 Walking
8.14,480,Crowded Scene (15 people)
8.15,481,Person 719 Walking
8.15,481,Vehicle 729 Stopping
8.15,481,Person 876 Walking
8.15,481,Person 1010 Walking
8.15,481,Crowded Scene (15 people)
8.17,482,Person 719 Walking
8.17,482,Vehicle 729 Stopping
8.17,482,Crowded Scene (15 people)
8.19,483,Person 937 Walking
8.19,483,Vehicle 729 Stopping
8.19,483,Crowded Scene (15 people)
8.20,484,Person 645 Walking
8.20,484,Vehicle 729 Stopping
8.20,484,Person 876 Walking
8.20,484,Crowded Scene (16 people)
8.22,485,Vehicle 729 Stopping
8.22,485,Crowded Scene (16 people)
8.24,486,Person 645 Walking
8.24,486,Vehicle 729 Stopping
8.24,486,Crowded Scene (16 people)
8.25,487,Vehicle 729 Stopping
8.25,487,Person 876 Walking
8.25,487,Crowded Scene (16 people)
8.27,488,Vehicle 729 Stopping
8.27,488,Person 952 Walking
8.27,488,Crowded Scene (18 people)
8.29,489,Vehicle 729 Stopping
8.29,489,Person 876 Walking
8.29,489,Person 1023 Walking
8.29,489,Crowded Scene (19 people)
8.31,490,Vehicle 729 Stopping
8.31,490,Person 1029 Walking
8.31,490,Crowded Scene (18 people)
8.32,491,Vehicle 729 Stopping
8.32,491,Person 1029 Walking
8.32,491,Crowded Scene (18 people)
8.34,492,Vehicle 729 Stopping
8.34,492,Person 1010 Walking
8.34,492,Person 1023 Walking
8.34,492,Crowded Scene (18 people)
8.36,493,Vehicle 729 Stopping
8.36,493,Person 983 Walking
8.36,493,Person 1023 Walking
8.36,493,Crowded Scene (18 people)
8.37,494,Vehicle 729 Stopping
8.37,494,Crowded Scene (17 people)
8.39,495,Vehicle 729 Stopping
8.39,495,Crowded Scene (18 people)
8.41,496,Vehicle 729 Stopping
8.41,496,Crowded Scene (17 people)
8.42,497,Vehicle 729 Stopping
8.42,497,Person 998 Walking
8.42,497,Person 1010 Walking
8.42,497,Crowded Scene (15 people)
8.44,498,Vehicle 729 Stopping
8.44,498,Person 1035 Walking
8.44,498,Crowded Scene (15 people)
8.46,499,Vehicle 729 Stopping
8.46,499,Crowded Scene (14 people)
8.47,500,Vehicle 729 Stopping
8.47,500,Person 765 Walking
8.47,500,Crowded Scene (14 people)
8.49,501,Vehicle 729 Stopping
8.49,501,Crowded Scene (14 people)
8.51,502,Vehicle 729 Stopping
8.51,502,Person 1029 Walking
8.51,502,Crowded Scene (15 people)
8.53,503,Vehicle 729 Stopping
8.53,503,Person 1035 Walking
8.53,503,Crowded Scene (15 people)
8.54,504,Vehicle 729 Stopping
8.54,504,Crowded Scene (15 people)
8.56,505,Vehicle 729 Stopping
8.56,505,Person 1035 Walking
8.56,505,Crowded Scene (16 people)
8.58,506,Vehicle 729 Stopping
8.58,506,Crowded Scene (16 people)
8.59,507,Vehicle 729 Stopping
8.59,507,Crowded Scene (16 people)
8.61,508,Vehicle 729 Stopping
8.61,508,Person 1010 Walking
8.61,508,Person 1029 Walking
8.61,508,Crowded Scene (16 people)
8.63,509,Person 937 Walking
8.63,509,Vehicle 729 Stopping
8.63,509,Person 1010 Walking
8.63,509,Vehicle 1015 Stopping
8.63,509,Person 1029 Walking
8.63,509,Person 1073 Walking
8.63,509,Crowded Scene (16 people)
8.64,510,Person 645 Walking
8.64,510,Vehicle 729 Stopping
8.64,510,Person 983 Walking
8.64,510,Person 1010 Walking
8.64,510,Vehicle 1015 Stopping
8.64,510,Crowded Scene (16 people)
8.66,511,Vehicle 729 Stopping
8.66,511,Vehicle 1015 Stopping
8.66,511,Crowded Scene (16 people)
8.68,512,Vehicle 729 Stopping
8.68,512,Person 952 Walking
8.68,512,Vehicle 1015 Stopping
8.68,512,Crowded Scene (16 people)
8.69,513,Vehicle 729 Stopping
8.69,513,Person 1010 Walking
8.69,513,Vehicle 1015 Stopping
8.69,513,Vehicle 884 Stopping
8.69,513,Crowded Scene (15 people)
8.71,514,Vehicle 729 Stopping
8.71,514,Person 1010 Walking
8.71,514,Vehicle 1015 Stopping
8.71,514,Vehicle 884 Stopping
8.71,514,Crowded Scene (15 people)
8.73,515,Person 645 Walking
8.73,515,Vehicle 729 Stopping
8.73,515,Vehicle 1015 Stopping
8.73,515,Vehicle 884 Stopping
8.73,515,Crowded Scene (15 people)
8.75,516,Vehicle 729 Stopping
8.75,516,Vehicle 1015 Stopping
8.75,516,Vehicle 884 Stopping
8.75,516,Person 1088 Walking
8.75,516,Crowded Scene (16 people)
8.76,517,Person 645 Walking
8.76,517,Vehicle 729 Stopping
8.76,517,Person 1010 Walking
8.76,517,Vehicle 1015 Stopping
8.76,517,Vehicle 884 Stopping
8.76,517,Crowded Scene (15 people)
8.78,518,Person 645 Walking
8.78,518,Vehicle 729 Stopping
8.78,518,Person 1010 Walking
8.78,518,Vehicle 1015 Stopping
8.78,518,Vehicle 884 Stopping
8.78,518,Crowded Scene (16 people)
8.80,519,Person 645 Walking
8.80,519,Vehicle 729 Stopping
8.80,519,Vehicle 1015 Stopping
8.80,519,Vehicle 884 Stopping
8.80,519,Crowded Scene (16 people)
8.81,520,Person 645 Walking
8.81,520,Vehicle 729 Stopping
8.81,520,Person 952 Walking
8.81,520,Vehicle 1015 Stopping
8.81,520,Vehicle 884 Stopping
8.81,520,Crowded Scene (16 people)
8.83,521,Vehicle 729 Stopping
8.83,521,Vehicle 1015 Stopping
8.83,521,Vehicle 884 Stopping
8.83,521,Person 887 Walking
8.83,521,Crowded Scene (17 people)
8.85,522,Person 952 Walking
8.85,522,Vehicle 1015 Stopping
8.85,522,Vehicle 884 Stopping
8.85,522,Crowded Scene (17 people)
8.86,523,Person 645 Walking
8.86,523,Vehicle 1015 Stopping
8.86,523,Vehicle 884 Stopping
8.86,523,Crowded Scene (17 people)
8.88,524,Vehicle 1015 Stopping
8.88,524,Vehicle 884 Stopping
8.88,524,Crowded Scene (16 people)
8.90,525,Vehicle 1015 Stopping
8.90,525,Vehicle 884 Stopping
8.90,525,Person 1088 Walking
8.90,525,Crowded Scene (16 people)
8.92,526,Person 645 Walking
8.92,526,Vehicle 1015 Stopping
8.92,526,Vehicle 884 Stopping
8.92,526,Crowded Scene (17 people)
8.93,527,Vehicle 1015 Stopping
8.93,527,Vehicle 884 Stopping
8.93,527,Crowded Scene (18 people)
8.95,528,Vehicle 1015 Stopping
8.95,528,Vehicle 884 Stopping
8.95,528,Person 1095 Walking
8.95,528,Person 1110 Walking
8.95,528,Crowded Scene (18 people)
8.97,529,Vehicle 1015 Stopping
8.97,529,Vehicle 884 Stopping
8.97,529,Person 1088 Walking
8.97,529,Crowded Scene (18 people)
8.98,530,Vehicle 1015 Stopping
8.98,530,Vehicle 884 Stopping
8.98,530,Person 1091 Walking
8.98,530,Person 1108 Walking
8.98,530,Crowded Scene (18 people)
9.00,531,Vehicle 1015 Stopping
9.00,531,Person 1035 Walking
9.00,531,Vehicle 884 Stopping
9.00,531,Person 1073 Walking
9.00,531,Crowded Scene (16 people)
9.02,532,Vehicle 1015 Stopping
9.02,532,Vehicle 884 Stopping
9.02,532,Crowded Scene (15 people)
9.03,533,Vehicle 1015 Stopping
9.03,533,Vehicle 884 Stopping
9.03,533,Crowded Scene (15 people)
9.05,534,Person 1010 Walking
9.05,534,Vehicle 1015 Stopping
9.05,534,Vehicle 884 Stopping
9.05,534,Crowded Scene (15 people)
9.07,535,Vehicle 1015 Stopping
9.07,535,Vehicle 884 Stopping
9.07,535,Crowded Scene (15 people)
9.08,536,Person 645 Walking
9.08,536,Vehicle 1015 Stopping
9.08,536,Person 1035 Walking
9.08,536,Vehicle 884 Stopping
9.08,536,Crowded Scene (15 people)
9.10,537,Person 645 Walking
9.10,537,Vehicle 1015 Stopping
9.10,537,Person 1035 Walking
9.10,537,Vehicle 884 Stopping
9.10,537,Crowded Scene (15 people)
9.12,538,Vehicle 1015 Stopping
9.12,538,Person 792 Walking
9.12,538,Vehicle 884 Stopping
9.12,538,Crowded Scene (15 people)
9.14,539,Vehicle 1015 Stopping
9.14,539,Person 1035 Walking
9.14,539,Vehicle 884 Stopping
9.14,539,Person 1091 Walking
9.14,539,Crowded Scene (15 people)
9.15,540,Person 765 Walking
9.15,540,Vehicle 1015 Stopping
9.15,540,Person 1035 Walking
9.15,540,Vehicle 884 Stopping
9.15,540,Crowded Scene (13 people)
9.17,541,Person 765 Walking
9.17,541,Person 1010 Walking
9.17,541,Vehicle 1015 Stopping
9.17,541,Person 1035 Walking
9.17,541,Vehicle 884 Stopping
9.17,541,Crowded Scene (13 people)
9.19,542,Person 765 Walking
9.19,542,Person 1010 Walking
9.19,542,Vehicle 1015 Stopping
9.19,542,Vehicle 884 Stopping
9.19,542,Crowded Scene (13 people)
9.20,543,Vehicle 1015 Stopping
9.20,543,Vehicle 884 Stopping
9.20,543,Person 1095 Walking
9.20,543,Crowded Scene (13 people)
9.22,544,Vehicle 1015 Stopping
9.22,544,Vehicle 884 Stopping
9.22,544,Crowded Scene (13 people)
9.24,545,Person 765 Walking
9.24,545,Vehicle 1015 Stopping
9.24,545,Vehicle 884 Stopping
9.24,545,Crowded Scene (13 people)
9.25,546,Person 765 Walking
9.25,546,Vehicle 1015 Stopping
9.25,546,Vehicle 884 Stopping
9.25,546,Person 1110 Walking
9.25,546,Crowded Scene (13 people)
9.27,547,Vehicle 1015 Stopping
9.27,547,Vehicle 884 Stopping
9.27,547,Person 1110 Walking
9.27,547,Person 1095 Walking
9.27,547,Crowded Scene (13 people)
9.29,548,Person 765 Walking
9.29,548,Vehicle 1015 Stopping
9.29,548,Vehicle 884 Stopping
9.29,548,Person 1110 Walking
9.29,548,Crowded Scene (12 people)
9.31,549,Person 645 Walking
9.31,549,Person 765 Walking
9.31,549,Vehicle 1015 Stopping
9.31,549,Vehicle 884 Stopping
9.31,549,Crowded Scene (12 people)
9.32,550,Person 645 Walking
9.32,550,Person 765 Walking
9.32,550,Vehicle 1015 Stopping
9.32,550,Vehicle 884 Stopping
9.32,550,Person 1067 Walking
9.32,550,Person 1132 Walking
9.32,550,Person 1088 Walking
9.32,550,Crowded Scene (14 people)
9.34,551,Person 645 Walking
9.34,551,Person 765 Walking
9.34,551,Vehicle 1015 Stopping
9.34,551,Vehicle 884 Stopping
9.34,551,Person 1067 Walking
9.34,551,Person 1110 Walking
9.34,551,Crowded Scene (13 people)
9.36,552,Person 645 Walking
9.36,552,Vehicle 1015 Stopping
9.36,552,Vehicle 884 Stopping
9.36,552,Crowded Scene (11 people)
9.37,553,Vehicle 1015 Stopping
9.37,553,Vehicle 884 Stopping
9.37,553,Crowded Scene (11 people)
9.39,554,Vehicle 1015 Stopping
9.39,554,Vehicle 884 Stopping
9.39,554,Crowded Scene (11 people)
9.41,555,Person 645 Walking
9.41,555,Vehicle 1015 Stopping
9.41,555,Vehicle 884 Stopping
9.41,555,Crowded Scene (11 people)
9.42,556,Person 645 Walking
9.42,556,Vehicle 1015 Stopping
9.42,556,Vehicle 884 Stopping
9.42,556,Crowded Scene (11 people)
9.44,557,Person 645 Walking
9.44,557,Vehicle 1015 Stopping
9.44,557,Vehicle 884 Stopping
9.44,557,Crowded Scene (11 people)
9.46,558,Person 645 Walking
9.46,558,Person 652 Walking
9.46,558,Vehicle 1015 Stopping
9.46,558,Vehicle 884 Stopping
9.46,558,Crowded Scene (11 people)
9.47,559,Person 645 Walking
9.47,559,Person 652 Walking
9.47,559,Vehicle 1015 Stopping
9.47,559,Vehicle 884 Stopping
9.47,559,Crowded Scene (11 people)
9.49,560,Person 645 Walking
9.49,560,Person 652 Walking
9.49,560,Vehicle 1015 Stopping
9.49,560,Vehicle 884 Stopping
9.49,560,Person 1088 Walking
9.49,560,Crowded Scene (11 people)
9.51,561,Person 645 Walking
9.51,561,Vehicle 1015 Stopping
9.51,561,Vehicle 884 Stopping
9.51,561,Person 1088 Walking
9.51,561,Crowded Scene (12 people)
9.53,562,Person 645 Walking
9.53,562,Vehicle 1015 Stopping
9.53,562,Vehicle 884 Stopping
9.53,562,Crowded Scene (12 people)
9.54,563,Vehicle 1015 Stopping
9.54,563,Vehicle 884 Stopping
9.54,563,Crowded Scene (10 people)
9.56,564,Person 652 Walking
9.56,564,Vehicle 1015 Stopping
9.56,564,Vehicle 884 Stopping
9.56,564,Crowded Scene (10 people)
9.58,565,Person 652 Walking
9.58,565,Vehicle 1015 Stopping
9.58,565,Vehicle 884 Stopping
9.58,565,Crowded Scene (10 people)
9.59,566,Vehicle 1015 Stopping
9.59,566,Vehicle 884 Stopping
9.59,566,Person 1157 Walking
9.59,566,Person 1155 Walking
9.59,566,Crowded Scene (11 people)
9.61,567,Person 652 Walking
9.61,567,Vehicle 1015 Stopping
9.61,567,Vehicle 884 Stopping
9.61,567,Person 1155 Walking
9.61,567,Crowded Scene (12 people)
9.63,568,Person 652 Walking
9.63,568,Vehicle 1015 Stopping
9.63,568,Vehicle 884 Stopping
9.63,568,Person 1157 Walking
9.63,568,Crowded Scene (10 people)
9.64,569,Vehicle 1015 Stopping
9.64,569,Vehicle 884 Stopping
9.64,569,Person 1155 Walking
9.64,569,Crowded Scene (9 people)
9.66,570,Vehicle 1015 Stopping
9.66,570,Vehicle 884 Stopping
9.66,570,Person 1125 Walking
9.66,570,Person 1155 Walking
9.66,570,Crowded Scene (10 people)
9.68,571,Vehicle 1015 Stopping
9.68,571,Vehicle 884 Stopping
9.68,571,Person 1125 Walking
9.68,571,Person 1155 Walking
9.68,571,Crowded Scene (10 people)
9.69,572,Person 937 Walking
9.69,572,Vehicle 1015 Stopping
9.69,572,Vehicle 884 Stopping
9.69,572,Person 1157 Walking
9.69,572,Person 1160 Walking
9.69,572,Crowded Scene (10 people)
9.71,573,Person 937 Walking
9.71,573,Vehicle 1015 Stopping
9.71,573,Vehicle 884 Stopping
9.71,573,Crowded Scene (10 people)
9.73,574,Person 937 Walking
9.73,574,Person 875 Walking
9.73,574,Vehicle 1015 Stopping
9.73,574,Vehicle 884 Stopping
9.73,574,Person 1157 Walking
9.73,574,Crowded Scene (10 people)
9.75,575,Person 875 Walking
9.75,575,Vehicle 1015 Stopping
9.75,575,Vehicle 884 Stopping
9.75,575,Person 1157 Walking
9.75,575,Crowded Scene (11 people)
9.76,576,Person 937 Walking
9.76,576,Person 875 Walking
9.76,576,Vehicle 1015 Stopping
9.76,576,Vehicle 884 Stopping
9.76,576,Crowded Scene (12 people)
9.78,577,Person 937 Walking
9.78,577,Person 875 Walking
9.78,577,Vehicle 1015 Stopping
9.78,577,Vehicle 884 Stopping
9.78,577,Vehicle 1124 Stopping
9.78,577,Person 1157 Walking
9.78,577,Crowded Scene (12 people)
9.80,578,Person 719 Walking
9.80,578,Vehicle 1015 Stopping
9.80,578,Vehicle 884 Stopping
9.80,578,Vehicle 1124 Stopping
9.80,578,Person 1193 Walking
9.80,578,Crowded Scene (13 people)
9.81,579,Person 719 Walking
9.81,579,Person 937 Walking
9.81,579,Person 875 Walking
9.81,579,Vehicle 1015 Stopping
9.81,579,Vehicle 884 Stopping
9.81,579,Vehicle 1124 Stopping
9.81,579,Person 1166 Walking
9.81,579,Person 1183 Walking
9.81,579,Person 1197 Walking
9.81,579,Crowded Scene (13 people)
9.83,580,Person 719 Walking
9.83,580,Person 937 Walking
9.83,580,Person 875 Walking
9.83,580,Vehicle 1015 Stopping
9.83,580,Vehicle 884 Stopping
9.83,580,Vehicle 1124 Stopping
9.83,580,Person 1193 Walking
9.83,580,Person 1197 Walking
9.83,580,Person 1160 Walking
9.83,580,Crowded Scene (14 people)
9.85,581,Person 719 Walking
9.85,581,Person 937 Walking
9.85,581,Vehicle 1015 Stopping
9.85,581,Vehicle 884 Stopping
9.85,581,Vehicle 1124 Stopping
9.85,581,Person 1190 Walking
9.85,581,Person 1193 Walking
9.85,581,Person 1197 Walking
9.85,581,Crowded Scene (15 people)
9.86,582,Person 937 Walking
9.86,582,Person 875 Walking
9.86,582,Vehicle 1015 Stopping
9.86,582,Vehicle 884 Stopping
9.86,582,Vehicle 1124 Stopping
9.86,582,Person 1193 Walking
9.86,582,Person 1197 Walking
9.86,582,Crowded Scene (15 people)
9.88,583,Person 937 Walking
9.88,583,Person 875 Walking
9.88,583,Vehicle 1015 Stopping
9.88,583,Vehicle 884 Stopping
9.88,583,Vehicle 1124 Stopping
9.88,583,Person 1155 Walking
9.88,583,Crowded Scene (14 people)
9.90,584,Person 719 Walking
9.90,584,Vehicle 1015 Stopping
9.90,584,Vehicle 884 Stopping
9.90,584,Vehicle 1124 Stopping
9.90,584,Person 1193 Walking
9.90,584,Person 1067 Walking
9.90,584,Crowded Scene (15 people)
9.92,585,Person 719 Walking
9.92,585,Person 875 Walking
9.92,585,Vehicle 1015 Stopping
9.92,585,Vehicle 884 Stopping
9.92,585,Vehicle 1124 Stopping
9.92,585,Person 1205 Walking
9.92,585,Crowded Scene (14 people)
9.93,586,Person 719 Walking
9.93,586,Vehicle 1015 Stopping
9.93,586,Vehicle 884 Stopping
9.93,586,Vehicle 1124 Stopping
9.93,586,Crowded Scene (14 people)
9.95,587,Person 719 Walking
9.95,587,Vehicle 1015 Stopping
9.95,587,Vehicle 884 Stopping
9.95,587,Vehicle 1124 Stopping
9.95,587,Crowded Scene (14 people)
9.97,588,Person 719 Walking
9.97,588,Vehicle 884 Stopping
9.97,588,Vehicle 1124 Stopping
9.97,588,Person 1166 Walking
